Layer_Index,Wedge_Index,Wedge_Start_Rad,Wedge_End_Rad,Wedge_Start_Degrees,Wedge_End_Degrees
3,32,1.567314,1.623366,89.800461,93.012047
4,32,1.565634,1.625046,89.704247,93.108253
1,33,1.619884,1.668971,92.812500,95.625000
2,33,1.617719,1.671136,92.688484,95.749016
3,33,1.616401,1.672454,92.612953,95.824539
4,33,1.614722,1.674133,92.516747,95.920753
1,34,1.668971,1.718058,95.625000,98.437500
2,34,1.666807,1.720223,95.500984,98.561516
3,34,1.665488,1.721541,95.425453,98.637047
4,34,1.663809,1.723220,95.329254,98.733253
1,35,1.718058,1.767146,98.437500,101.250000
2,35,1.715894,1.769310,98.313484,101.374016
3,35,1.714576,1.770629,98.237953,101.449547
4,35,1.712897,1.772308,98.141754,101.545746
1,36,1.767146,1.816233,101.250000,104.062500
2,36,1.764981,1.818398,101.125984,104.186516
3,36,1.763663,1.819716,101.050453,104.262047
4,36,1.761984,1.821395,100.954247,104.358246
1,37,1.816233,1.865321,104.062500,106.875000
2,37,1.814069,1.867485,103.938484,106.999016
3,37,1.812751,1.868803,103.862961,107.074547
4,37,1.811071,1.870482,103.766747,107.170753
1,38,1.865321,1.914408,106.875000,109.687500
2,38,1.863156,1.916573,106.750977,109.811516
3,38,1.861838,1.917891,106.675461,109.887047
4,38,1.860159,1.919570,106.579247,109.983253
1,39,1.914408,1.963495,109.687500,112.500000
2,39,1.912243,1.965660,109.563484,112.624016
3,39,1.910925,1.966978,109.487953,112.699539
4,39,1.909246,1.968657,109.391747,112.795753
1,40,1.963495,2.012583,112.500000,115.312500
2,40,1.961331,2.014747,112.375984,115.436523
3,40,1.960013,2.016066,112.300453,115.512047
4,40,1.958334,2.017745,112.204254,115.608246
1,41,2.012583,2.061670,115.312500,118.124992
2,41,2.010418,2.063835,115.188477,118.249016
3,41,2.009100,2.065153,115.112961,118.324547
4,41,2.007421,2.066832,115.016754,118.420753
1,42,2.061670,2.110758,118.124992,120.937500
2,42,2.059506,2.112922,118.000984,121.061508
3,42,2.058187,2.114240,117.925453,121.137039
4,42,2.056508,2.115919,117.829247,121.233246
1,43,2.110758,2.159845,120.937500,123.749992
2,43,2.108593,2.162009,120.813477,123.874016
3,43,2.107275,2.163328,120.737953,123.949547
4,43,2.105596,2.165007,120.641754,124.045753
1,44,2.159845,2.208932,123.749992,126.562500
2,44,2.157681,2.211097,123.625984,126.686516
3,44,2.156362,2.212415,123.550461,126.762039
4,44,2.154683,2.214094,123.454247,126.858253
1,45,2.208932,2.258020,126.562500,129.375000
2,45,2.206768,2.260184,126.438484,129.499023
3,45,2.205450,2.261503,126.362953,129.574554
4,45,2.203770,2.263181,126.266747,129.670746
1,46,2.258020,2.307107,129.375000,132.187500
2,46,2.255855,2.309272,129.250992,132.311508
3,46,2.254537,2.310590,129.175461,132.387039
4,46,2.252858,2.312269,129.079254,132.483246
1,47,2.307107,2.356194,132.187500,135.000000
2,47,2.304943,2.358359,132.063477,135.124023
3,47,2.303624,2.359677,131.987961,135.199554
4,47,2.301945,2.361356,131.891739,135.295746
1,48,2.356194,2.405282,135.000000,137.812500
2,48,2.354030,2.407446,134.875977,137.936523
3,48,2.352712,2.408765,134.800446,138.012039
4,48,2.351033,2.410444,134.704254,138.108261
1,49,2.405282,2.454369,137.812500,140.625000
2,49,2.403117,2.456534,137.688492,140.749008
3,49,2.401799,2.457852,137.612961,140.824539
4,49,2.400120,2.459531,137.516754,140.920746
1,50,2.454369,2.503457,140.625000,143.437500
2,50,2.452205,2.505621,140.500977,143.561523
3,50,2.450886,2.506939,140.425446,143.637054
4,50,2.449208,2.508618,140.329254,143.733246
1,51,2.503457,2.552544,143.437500,146.250000
2,51,2.501292,2.554708,143.313492,146.374008
3,51,2.499974,2.556027,143.237961,146.449539
4,51,2.498295,2.557706,143.141754,146.545746
1,52,2.552544,2.601631,146.250000,149.062500
2,52,2.550380,2.603796,146.125977,149.186523
3,52,2.549061,2.605114,146.050461,149.262054
4,52,2.547382,2.606793,145.954239,149.358246
1,53,2.601631,2.650719,149.062500,151.875000
2,53,2.599467,2.652883,148.938477,151.999023
3,53,2.598149,2.654202,148.862961,152.074539
