global_patch_index,wedge_index,column_index,patch_in_column,is_rectangular,corner_code,corner_index,z1_mm,zL_mm
25,13,0,2,0,8,0,267.404,-344.127
25,13,0,2,0,8,1,267.404,-139.112
25,13,0,2,0,8,2,247.596,-90.294
25,13,0,2,0,8,3,231.925,-79.841
25,13,0,2,0,8,4,77.255,-79.841
25,13,0,2,0,8,5,77.255,-240.235
25,13,0,2,0,8,6,117.968,-340.574
25,13,0,2,0,8,7,123.295,-344.127
26,14,0,0,0,6,0,310.496,112.757
26,14,0,0,0,6,1,310.496,436.797
26,14,0,0,0,6,2,260.410,470.160
26,14,0,0,0,6,3,27.145,470.160
26,14,0,0,0,6,4,27.145,459.179
26,14,0,0,0,6,5,165.255,112.757
27,15,0,0,0,5,0,313.030,-31.513
27,15,0,0,0,5,1,313.030,435.635
27,15,0,0,0,5,2,279.356,457.932
27,15,0,0,0,5,3,132.355,457.932
27,15,0,0,0,5,4,132.355,-31.513
28,16,0,0,0,6,0,302.566,146.554
28,16,0,0,0,6,1,302.566,346.254
28,16,0,0,0,6,2,270.020,427.102
28,16,0,0,0,6,3,101.579,427.102
28,16,0,0,0,6,4,101.579,306.091
28,16,0,0,0,6,5,165.801,146.554
29,17,0,0,1,40,0,253.739,101.246
29,17,0,0,1,40,1,253.739,446.659
29,17,0,0,1,40,2,44.120,446.659
29,17,0,0,1,40,3,44.120,101.246
30,17,0,1,0,6,0,253.739,-143.661
30,17,0,1,0,6,1,253.739,99.027
30,17,0,1,0,6,2,250.404,101.246
30,17,0,1,0,6,3,44.120,101.246
30,17,0,1,0,6,4,44.120,-47.283
30,17,0,1,0,6,5,188.971,-143.661
31,18,0,0,0,6,0,287.253,102.455
31,18,0,0,0,6,1,287.253,339.786
31,18,0,0,0,6,2,238.137,465.266
31,18,0,0,0,6,3,27.712,465.266
31,18,0,0,0,6,4,27.712,250.305
31,18,0,0,0,6,5,85.584,102.455
32,19,0,0,0,5,0,280.898,-29.129
32,19,0,0,0,5,1,280.898,290.670
32,19,0,0,0,5,2,59.039,439.591
32,19,0,0,0,5,3,35.045,439.591
32,19,0,0,0,5,4,35.045,135.898
33,20,0,0,0,6,0,323.174,13.597
33,20,0,0,0,6,1,323.174,421.526
33,20,0,0,0,6,2,307.971,458.882
33,20,0,0,0,6,3,23.294,458.882
33,20,0,0,0,6,4,23.294,151.892
33,20,0,0,0,6,5,79.577,13.597
34,21,0,0,1,40,0,279.178,154.530
34,21,0,0,1,40,1,279.178,464.569
34,21,0,0,1,40,2,56.776,464.569
34,21,0,0,1,40,3,56.776,154.530
35,21,0,1,0,5,0,279.178,-86.084
35,21,0,1,0,5,1,279.178,73.943
35,21,0,1,0,5,2,246.547,154.530
35,21,0,1,0,5,3,56.776,154.530
35,21,0,1,0,5,4,56.776,-86.084
36,22,0,0,0,5,0,225.293,187.817
36,22,0,0,0,5,1,225.293,429.377
36,22,0,0,0,5,2,223.033,430.855
36,22,0,0,0,5,3,70.789,430.855
36,22,0,0,0,5,4,70.789,288.896
37,23,0,0,1,40,0,297.185,60.026
37,23,0,0,1,40,1,297.185,442.862
37,23,0,0,1,40,2,112.173,442.862
37,23,0,0,1,40,3,112.173,60.026
38,23,0,1,0,6,0,297.185,-204.528
38,23,0,1,0,6,1,297.185,-16.444
38,23,0,1,0,6,2,267.386,60.026
38,23,0,1,0,6,3,112.173,60.026
38,23,0,1,0,6,4,112.173,-53.689
38,23,0,1,0,6,5,170.952,-204.528
39,24,0,0,0,6,0,303.426,41.085
39,24,0,0,0,6,1,303.426,219.078
39,24,0,0,0,6,2,207.360,458.066
39,24,0,0,0,6,3,105.734,458.066
39,24,0,0,0,6,4,105.734,129.932
39,24,0,0,0,6,5,141.448,41.085
40,25,0,0,1,40,0,294.157,151.727
40,25,0,0,1,40,1,294.157,465.922
40,25,0,0,1,40,2,191.953,465.922
40,25,0,0,1,40,3,191.953,151.727
