Layer_Index,Wedge_Index,Wedge_Start_Rad,Wedge_End_Rad,Wedge_Start_Degrees,Wedge_End_Degrees
2,32,1.568283,1.622397,89.855992,92.956508
3,32,1.566604,1.624076,89.759786,93.052714
0,33,1.619884,1.668971,92.812500,95.625000
1,33,1.618689,1.670166,92.744020,95.693480
2,33,1.617370,1.671485,92.668492,95.769008
3,33,1.615691,1.673164,92.572286,95.865214
0,34,1.668971,1.718058,95.625000,98.437500
1,34,1.667776,1.719254,95.556520,98.505980
2,34,1.666458,1.720572,95.480992,98.581508
3,34,1.664779,1.722251,95.384786,98.677714
0,35,1.718058,1.767146,98.437500,101.250000
1,35,1.716863,1.768341,98.369020,101.318480
2,35,1.715545,1.769659,98.293492,101.394008
3,35,1.713866,1.771338,98.197286,101.490214
0,36,1.767146,1.816233,101.250000,104.062500
1,36,1.765951,1.817428,101.181520,104.130980
2,36,1.764632,1.818747,101.105992,104.206508
3,36,1.762953,1.820426,101.009786,104.302714
0,37,1.816233,1.865321,104.062500,106.875000
1,37,1.815038,1.866516,103.994020,106.943480
2,37,1.813720,1.867834,103.918492,107.019008
3,37,1.812041,1.869513,103.822286,107.115214
0,38,1.865321,1.914408,106.875000,109.687500
1,38,1.864125,1.915603,106.806520,109.755980
2,38,1.862807,1.916921,106.730992,109.831508
3,38,1.861128,1.918601,106.634786,109.927714
0,39,1.914408,1.963495,109.687500,112.500000
1,39,1.913213,1.964691,109.619020,112.568480
2,39,1.911895,1.966009,109.543492,112.644008
3,39,1.910216,1.967688,109.447286,112.740214
0,40,1.963495,2.012583,112.500000,115.312500
1,40,1.962300,2.013778,112.431520,115.380980
2,40,1.960982,2.015096,112.355992,115.456508
3,40,1.959303,2.016775,112.259786,115.552714
0,41,2.012583,2.061670,115.312500,118.125000
1,41,2.011388,2.062865,115.244020,118.193480
2,41,2.010069,2.064184,115.168492,118.269008
3,41,2.008390,2.065863,115.072286,118.365214
0,42,2.061670,2.110758,118.125000,120.937500
1,42,2.060475,2.111953,118.056520,121.005980
2,42,2.059157,2.113271,117.980992,121.081508
3,42,2.057478,2.114950,117.884786,121.177714
0,43,2.110758,2.159845,120.937500,123.750000
1,43,2.109562,2.161040,120.869020,123.818480
2,43,2.108244,2.162358,120.793492,123.894008
3,43,2.106565,2.164037,120.697286,123.990214
0,44,2.159845,2.208932,123.750000,126.562500
1,44,2.158650,2.210128,123.681520,126.630980
2,44,2.157332,2.211446,123.605992,126.706508
3,44,2.155652,2.213125,123.509786,126.802714
0,45,2.208932,2.258020,126.562500,129.375000
1,45,2.207737,2.259215,126.494020,129.443480
2,45,2.206419,2.260533,126.418492,129.519008
3,45,2.204740,2.262212,126.322286,129.615214
0,46,2.258020,2.307107,129.375000,132.187500
1,46,2.256825,2.308302,129.306520,132.255980
2,46,2.255506,2.309621,129.230992,132.331508
3,46,2.253827,2.311300,129.134786,132.427714
0,47,2.307107,2.356194,132.187500,135.000000
1,47,2.305912,2.357390,132.119020,135.068480
2,47,2.304594,2.358708,132.043492,135.144008
3,47,2.302915,2.360387,131.947286,135.240214
0,48,2.356194,2.405282,135.000000,137.812500
1,48,2.354999,2.406477,134.931520,137.880980
2,48,2.353681,2.407795,134.855992,137.956508
3,48,2.352002,2.409474,134.759786,138.052714
0,49,2.405282,2.454369,137.812500,140.625000
1,49,2.404087,2.455564,137.744020,140.693480
2,49,2.402768,2.456883,137.668492,140.769008
3,49,2.401089,2.458562,137.572286,140.865214
0,50,2.454369,2.503457,140.625000,143.437500
1,50,2.453174,2.504652,140.556520,143.505980
2,50,2.451856,2.505970,140.480992,143.581508
3,50,2.450177,2.507649,140.384786,143.677714
0,51,2.503457,2.552544,143.437500,146.250000
1,51,2.502261,2.553739,143.369020,146.318480
2,51,2.500943,2.555057,143.293492,146.394008
3,51,2.499264,2.556737,143.197286,146.490214
0,52,2.552544,2.601631,146.250000,149.062500
1,52,2.551349,2.602827,146.181520,149.130980
2,52,2.550031,2.604145,146.105992,149.206508
3,52,2.548352,2.605824,146.009786,149.302714
0,53,2.601631,2.650719,149.062500,151.875000
1,53,2.600436,2.651914,148.994020,151.943480
2,53,2.599118,2.653232,148.918492,152.019008
3,53,2.597439,2.654911,148.822286,152.115214
0,54,2.650719,2.699806,151.875000,154.687500
1,54,2.649524,2.701001,151.806520,154.755980
2,54,2.648205,2.702320,151.730992,154.831508
3,54,2.646526,2.703999,151.634786,154.927714
0,55,2.699806,2.748894,154.687500,157.500000
1,55,2.698611,2.750089,154.619020,157.568480
2,55,2.697293,2.751407,154.543492,157.644008
3,55,2.695614,2.753086,154.447286,157.740214
0,56,2.748894,2.797981,157.500000,160.312500
1,56,2.747698,2.799176,157.431520,160.380980
2,56,2.746380,2.800494,157.355992,160.456508
3,56,2.744701,2.802173,157.259786,160.552714
0,57,2.797981,2.847068,160.312500,163.125000
1,57,2.796786,2.848264,160.244020,163.193480
2,57,2.795468,2.849582,160.168492,163.269008
3,57,2.793788,2.851261,160.072286,163.365214
0,58,2.847068,2.896156,163.125000,165.937500
1,58,2.845873,2.897351,163.056520,166.005980
2,58,2.844555,2.898669,162.980992,166.081508
3,58,2.842876,2.900348,162.884786,166.177714
0,59,2.896156,2.945243,165.937500,168.750000
1,59,2.894961,2.946438,165.869020,168.818480
2,59,2.893642,2.947757,165.793492,168.894008
3,59,2.891963,2.949436,165.697286,168.990214
0,60,2.945243,2.994330,168.750000,171.562500
1,60,2.944048,2.995526,168.681520,171.630980
2,60,2.942730,2.996844,168.605992,171.706508
3,60,2.941051,2.998523,168.509786,171.802714
0,61,2.994330,3.043418,171.562500,174.375000
1,61,2.993135,3.044613,171.494020,174.443480
2,61,2.991817,3.045931,171.418492,174.519008
3,61,2.990138,3.047610,171.322286,174.615214
0,62,3.043418,3.092505,174.375000,177.187500
1,62,3.042223,3.093700,174.306520,177.255980
2,62,3.040904,3.095019,174.230992,177.331508
3,62,3.039225,3.096698,174.134786,177.427714
0,63,3.092505,3.141593,177.187500,180.000000
1,63,3.091310,3.142788,177.119020,180.068480
2,63,3.089992,3.144106,177.043492,180.144008
3,63,3.088313,3.145785,176.947286,180.240214
0,64,3.141593,3.190680,180.000000,182.812500
1,64,3.140397,3.191875,179.931520,182.880980
2,64,3.139079,3.193193,179.855992,182.956508
3,64,3.137400,3.194873,179.759786,183.052714
0,65,3.190680,3.239767,182.812500,185.625000
1,65,3.189485,3.240963,182.744020,185.693480
2,65,3.188167,3.242281,182.668492,185.769008
3,65,3.186488,3.243960,182.572286,185.865214
0,66,3.239767,3.288855,185.625000,188.437500
1,66,3.238572,3.290050,185.556520,188.505980
2,66,3.237254,3.291368,185.480992,188.581508
3,66,3.235575,3.293047,185.384786,188.677714
0,67,3.288855,3.337942,188.437500,191.250000
1,67,3.287660,3.339137,188.369020,191.318480
2,67,3.286341,3.340456,188.293492,191.394008
3,67,3.284662,3.342135,188.197286,191.490214
0,68,3.337942,3.387030,191.250000,194.062500
1,68,3.336747,3.388225,191.181520,194.130980
2,68,3.335429,3.389543,191.105992,194.206508
3,68,3.333750,3.391222,191.009786,194.302714
0,69,3.387030,3.436117,194.062500,196.875000
1,69,3.385834,3.437312,193.994020,196.943480
2,69,3.384516,3.438630,193.918492,197.019008
3,69,3.382837,3.440309,193.822286,197.115214
0,70,3.436117,3.485204,196.875000,199.687500
1,70,3.434922,3.486400,196.806520,199.755980
2,70,3.433604,3.487718,196.730992,199.831508
3,70,3.431924,3.489397,196.634786,199.927714
0,71,3.485204,3.534292,199.687500,202.500000
1,71,3.484009,3.535487,199.619020,202.568480
2,71,3.482691,3.536805,199.543492,202.644008
3,71,3.481012,3.538484,199.447286,202.740214
0,72,3.534292,3.583379,202.500000,205.312500
1,72,3.533097,3.584574,202.431520,205.380980
2,72,3.531778,3.585893,202.355992,205.456508
3,72,3.530099,3.587572,202.259786,205.552714
